1.998046875000000444e+00,1.998046874999999112e+00,1.998046875000001776e+00,1.998046875000000222e+00,1.998046874999998224e+00
1.992187500000000666e+00,1.992187500000000222e+00,1.992187500000002220e+00,1.992187500000000000e+00,1.992187500000000666e+00
1.972062780049771424e+00,1.975670334562757535e+00,1.989625391070903415e+00,1.968750000000000888e+00,1.968750000000003109e+00
1.956895365715105362e+00,1.936997551873629764e+00,1.956511448048233515e+00,1.949995213581494191e+00,1.950783108057232873e+00
1.934014153166346839e+00,1.881174701923868486e+00,1.934231886027215852e+00,1.925579132069405786e+00,1.934271167013619230e+00
1.867722107438750667e+00,1.841769729934373157e+00,1.936116348689266742e+00,1.861729496602240186e+00,1.871484772204251579e+00
1.748324075311976866e+00,1.719149855588152587e+00,1.742208125097228777e+00,1.685825687176603527e+00,1.791395912952950864e+00
1.371848716270980040e+00,1.668985829722340553e+00,1.406937551300351252e+00,1.432777829439555894e+00,1.438213959112640605e+00
9.720083029872494951e-01,9.835138052438581191e-01,9.888620816280451198e-01,9.673529289421315402e-01,9.117602434422179547e-01
8.326719847742577066e-16,3.885819787552441344e-16,1.276909205355069272e-15,1.609832671475185160e-15,2.664542786451921369e-15
