0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.504790435218672506e-03,1.230617946419432229e-04,5.526356726955894416e-04,6.278685274042627995e-04,7.714571733862252145e-04,2.034065342085833450e-04,2.034065342085833450e-04,1.336721353080161379e-04,6.278685274042627995e-04,5.526356726955894416e-04
2.815775677667886612e-03,3.213664574774877103e-02,2.631171244331653725e-03,1.546396251709825087e-03,2.631171244331653725e-03,1.546396251709825087e-03,1.426925151650437762e-03,1.341218556516032834e-03,3.740393069237257784e-02,1.197482202555777420e-03
4.117830511719766662e-03,3.646904248397364601e-02,4.841054936134348008e-02,3.539339567386545760e-01,4.299906352980387148e-03,3.950452227395984117e-03,4.255732183211180519e-02,3.502279662178037212e-01,4.188168835910033305e-02,3.893834418474129144e-03
5.738293844567698976e-03,6.114709455474052202e-01,5.350855214659333559e-02,4.101934966800949711e-01,5.952997979608465329e-03,5.540284826618391278e-03,5.372161386909657388e-02,3.896370126609818296e-01,6.407410646300191193e-01,3.866760979987998725e-01
9.864725994810141785e-03,6.732795160023230530e-01,6.045320329856318509e-02,4.281232673710497760e-01,1.347188664245535517e-02,4.045470893127336431e-01,6.768162530952681610e-02,4.110327005723631855e-01,7.335156575757372233e-01,4.079567914352254521e-01
1.549697472801425668e-02,7.309355660108953767e-01,7.379322427427319475e-01,4.735777696799797765e-01,1.618468905181091877e-02,7.320993707690317542e-01,7.399204537934656045e-02,4.481430500758506463e-01,7.978829229576882565e-01,4.701574610439920310e-01
4.852993722620082551e-01,8.412411580799529220e-01,8.074209711987963001e-01,5.149145313683667347e-01,4.900277730706829038e-01,7.614675061305706816e-01,8.032631143565727161e-02,5.149145313683667347e-01,8.864202253521737962e-01,8.499066103740625655e-01
5.354228336152280221e-01,8.891498672577416995e-01,8.429363801817435498e-01,9.432063478869605611e-01,5.354228336152280221e-01,8.795763098895051924e-01,1.046631200288881125e-01,9.432063478869605611e-01,9.300389460552302978e-01,9.412160694544159378e-01
9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01,9.999985573070738765e-01
