1.998046875000003775e+00,1.998046874999993783e+00
1.992187500000006661e+00,1.992187499999984457e+00
1.968750000000104139e+00,1.968750000000005329e+00
1.875000000000007550e+00,1.874999999999984013e+00
1.533568519118527540e+00,1.571461342737294764e+00
9.904835068157957778e-01,1.158945668764810089e+00
6.389793513959078908e-01,6.931822134686673742e-01
2.541294463778651092e-01,3.718798757369222163e-01
1.551968234865264695e-01,1.119396429729525994e-01
1.998402729643227196e-15,2.442490658186201008e-14
